

Microchip MPLAB XC8 Assembler V2.10 build 88905656 
                                                                                               Mon Feb 24 14:28:17 2020

Microchip MPLAB XC8 C Compiler v2.10 (Free license) build 20190730164152 Og1 
     1                           	processor	16F887
     2                           	opt	pw 120
     3                           	opt	flic
     4                           	psect	strings,global,class=STRING,delta=2
     5                           	psect	cinit,global,class=CODE,merge=1,delta=2
     6                           	psect	bssBANK0,global,class=BANK0,space=1,delta=1
     7                           	psect	cstackCOMMON,global,class=COMMON,space=1,delta=1
     8                           	psect	cstackBANK0,global,class=BANK0,space=1,delta=1
     9                           	psect	maintext,global,class=CODE,split=1,delta=2
    10                           	psect	text1,local,class=CODE,merge=1,delta=2
    11                           	psect	text2,local,class=CODE,merge=1,delta=2
    12                           	psect	text3,local,class=CODE,merge=1,delta=2
    13                           	psect	text4,local,class=CODE,merge=1,delta=2,group=1
    14                           	psect	text5,local,class=CODE,merge=1,delta=2
    15                           	psect	text6,local,class=CODE,merge=1,delta=2,group=1
    16                           	psect	text7,local,class=CODE,merge=1,delta=2
    17                           	psect	text8,local,class=CODE,merge=1,delta=2
    18                           	psect	text9,local,class=CODE,merge=1,delta=2
    19                           	psect	text10,local,class=CODE,merge=1,delta=2
    20                           	psect	text11,local,class=CODE,merge=1,delta=2
    21                           	psect	text12,local,class=CODE,merge=1,delta=2
    22                           	psect	text13,local,class=CODE,merge=1,delta=2
    23                           	psect	text14,local,class=CODE,merge=1,delta=2
    24                           	psect	text15,local,class=CODE,merge=1,delta=2
    25                           	psect	text16,local,class=CODE,merge=1,delta=2
    26                           	psect	text17,local,class=CODE,merge=1,delta=2
    27                           	dabs	1,0x7E,2
    28  0000                     
    29                           ; Version 2.10
    30                           ; Generated 31/07/2019 GMT
    31                           ; 
    32                           ; Copyright © 2019, Microchip Technology Inc. and its subsidiaries ("Microchip")
    33                           ; All rights reserved.
    34                           ; 
    35                           ; This software is developed by Microchip Technology Inc. and its subsidiaries ("Microch
      +                          ip").
    36                           ; 
    37                           ; Redistribution and use in source and binary forms, with or without modification, are
    38                           ; permitted provided that the following conditions are met:
    39                           ; 
    40                           ;     1. Redistributions of source code must retain the above copyright notice, this lis
      +                          t of
    41                           ;        conditions and the following disclaimer.
    42                           ; 
    43                           ;     2. Redistributions in binary form must reproduce the above copyright notice, this 
      +                          list
    44                           ;        of conditions and the following disclaimer in the documentation and/or other
    45                           ;        materials provided with the distribution.
    46                           ; 
    47                           ;     3. Microchip's name may not be used to endorse or promote products derived from th
      +                          is
    48                           ;        software without specific prior written permission.
    49                           ; 
    50                           ; THIS SOFTWARE IS PROVIDED BY MICROCHIP "AS IS" AND ANY EXPRESS OR IMPLIED WARRANTIES,
    51                           ; INCLUDING, BUT NOT LIMITED TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS F
      +                          OR
    52                           ; PURPOSE ARE DISCLAIMED.  IN NO EVENT SHALL MICROCHIP BE LIABLE FOR ANY DIRECT, INDIREC
      +                          T,
    53                           ; INCIDENTAL, SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING BUT NOT LIMITED TO
    54                           ; PROCUREMENT OF SUBSTITUTE GOODS OR SERVICES; LOSS OF USE, DATA OR PROFITS; OR BUSINESS
    55                           ; INTERRUPTION) HOWSOEVER CAUSED AND ON ANY THEORY OF LIABILITY, WHETHER IN CONTRACT, ST
      +                          RICT
    56                           ; LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR OTHERWISE) ARISING IN ANY WAY OUT OF THE U
      +                          SE OF
    57                           ; THIS SOFTWARE, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.
    58                           ; 
    59                           ; 
    60                           ; Code-generator required, PIC16F887 Definitions
    61                           ; 
    62                           ; SFR Addresses
    63  0000                     	;# 
   223  0004                     	;# 
   224  0005                     	;# 
   225  0006                     	;# 
   226  0007                     	;# 
   227  0008                     	;# 
   228  0009                     	;# 
   229  000A                     	;# 
   230  000B                     	;# 
   231  000C                     	;# 
   232  000D                     	;# 
   233  000E                     	;# 
   234  000E                     	;# 
   235  000F                     	;# 
   236  0010                     	;# 
   237  0011                     	;# 
   238  0012                     	;# 
   239  0013                     	;# 
   240  0014                     	;# 
   241  0015                     	;# 
   242  0015                     	;# 
   243  0016                     	;# 
   244  0017                     	;# 
   245  0018                     	;# 
   246  0019                     	;# 
   247  001A                     	;# 
   248  001B                     	;# 
   249  001B                     	;# 
   250  001C                     	;# 
   251  001D                     	;# 
   252  001E                     	;# 
   253  001F                     	;# 
   254  0081                     	;# 
   255  0085                     	;# 
   256  0086                     	;# 
   257  0087                     	;# 
   258  0088                     	;# 
   259  0089                     	;# 
   260  008C                     	;# 
   261  008D                     	;# 
   262  008E                     	;# 
   263  008F                     	;# 
   264  0090                     	;# 
   265  0091                     	;# 
   266  0092                     	;# 
   267  0093                     	;# 
   268  0093                     	;# 
   269  0093                     	;# 
   270  0094                     	;# 
   271  0095                     	;# 
   272  0096                     	;# 
   273  0097                     	;# 
   274  0098                     	;# 
   275  0099                     	;# 
   276  009A                     	;# 
   277  009B                     	;# 
   278  009C                     	;# 
   279  009D                     	;# 
   280  009E                     	;# 
   281  009F                     	;# 
   282  0105                     	;# 
   283  0107                     	;# 
   284  0108                     	;# 
   285  0109                     	;# 
   286  010C                     	;# 
   287  010C                     	;# 
   288  010D                     	;# 
   289  010E                     	;# 
   290  010F                     	;# 
   291  0185                     	;# 
   292  0187                     	;# 
   293  0188                     	;# 
   294  0189                     	;# 
   295  018C                     	;# 
   296  018D                     	;# 
   297  0000                     	;# 
   298  0001                     	;# 
   299  0002                     	;# 
   300  0003                     	;# 
   301  0004                     	;# 
   302  0005                     	;# 
   303  0006                     	;# 
   304  0007                     	;# 
   305  0008                     	;# 
   306  0009                     	;# 
   307  000A                     	;# 
   308  000B                     	;# 
   309  000C                     	;# 
   310  000D                     	;# 
   311  000E                     	;# 
   312  000E                     	;# 
   313  000F                     	;# 
   314  0010                     	;# 
   315  0011                     	;# 
   316  0012                     	;# 
   317  0013                     	;# 
   318  0014                     	;# 
   319  0015                     	;# 
   320  0015                     	;# 
   321  0016                     	;# 
   322  0017                     	;# 
   323  0018                     	;# 
   324  0019                     	;# 
   325  001A                     	;# 
   326  001B                     	;# 
   327  001B                     	;# 
   328  001C                     	;# 
   329  001D                     	;# 
   330  001E                     	;# 
   331  001F                     	;# 
   332  0081                     	;# 
   333  0085                     	;# 
   334  0086                     	;# 
   335  0087                     	;# 
   336  0088                     	;# 
   337  0089                     	;# 
   338  008C                     	;# 
   339  008D                     	;# 
   340  008E                     	;# 
   341  008F                     	;# 
   342  0090                     	;# 
   343  0091                     	;# 
   344  0092                     	;# 
   345  0093                     	;# 
   346  0093                     	;# 
   347  0093                     	;# 
   348  0094                     	;# 
   349  0095                     	;# 
   350  0096                     	;# 
   351  0097                     	;# 
   352  0098                     	;# 
   353  0099                     	;# 
   354  009A                     	;# 
   355  009B                     	;# 
   356  009C                     	;# 
   357  009D                     	;# 
   358  009E                     	;# 
   359  009F                     	;# 
   360  0105                     	;# 
   361  0107                     	;# 
   362  0108                     	;# 
   363  0109                     	;# 
   364  010C                     	;# 
   365  010C                     	;# 
   366  010D                     	;# 
   367  010E                     	;# 
   368  010F                     	;# 
   369  0185                     	;# 
   370  0187                     	;# 
   371  0188                     	;# 
   372  0189                     	;# 
   373  018C                     	;# 
   374  018D                     	;# 
   375  0013                     _SSPBUF	set	19
   376  0014                     _SSPCON	set	20
   377  0006                     _PORTB	set	6
   378  0005                     _PORTA	set	5
   379  0008                     _PORTD	set	8
   380  0063                     _SSPIF	set	99
   381  005E                     _PEIE	set	94
   382  005F                     _GIE	set	95
   383  002C                     _RA4	set	44
   384  002B                     _RA3	set	43
   385  0091                     _SSPCON2bits	set	145
   386  0087                     _TRISCbits	set	135
   387  0094                     _SSPSTAT	set	148
   388  0093                     _SSPADD	set	147
   389  0091                     _SSPCON2	set	145
   390  0088                     _TRISD	set	136
   391  0086                     _TRISB	set	134
   392  0085                     _TRISAbits	set	133
   393  0463                     _SSPIE	set	1123
   394  043C                     _TRISC4	set	1084
   395  043B                     _TRISC3	set	1083
   396  0189                     _ANSELH	set	393
   397  0188                     _ANSEL	set	392
   398                           
   399                           	psect	strings
   400  0003                     __pstrings:	
   401  0003                     stringtab:	
   402  0003                     __stringtab:	
   403  0003                     stringcode:	
   404                           ;	String table - string pointers are 1 byte each
   405                           
   406  0003                     stringdir:	
   407  0003  3000               	movlw	high stringdir
   408  0004  008A               	movwf	10
   409  0005  0804               	movf	4,w
   410  0006  0A84               	incf	4,f
   411  0007  0782               	addwf	2,f
   412  0008                     __stringbase:	
   413  0008  3400               	retlw	0
   414  0009                     __end_of__stringtab:	
   415  0009                     STR_1:	
   416  0009  3453               	retlw	83	;'S'
   417  000A  3431               	retlw	49	;'1'
   418  000B  3420               	retlw	32	;' '
   419  000C  3420               	retlw	32	;' '
   420  000D  3420               	retlw	32	;' '
   421  000E  3420               	retlw	32	;' '
   422  000F  3453               	retlw	83	;'S'
   423  0010  3432               	retlw	50	;'2'
   424  0011  3420               	retlw	32	;' '
   425  0012  3420               	retlw	32	;' '
   426  0013  3420               	retlw	32	;' '
   427  0014  3453               	retlw	83	;'S'
   428  0015  3433               	retlw	51	;'3'
   429  0016  3400               	retlw	0
   430                           
   431                           ; #config settings
   432  0000                     
   433                           	psect	cinit
   434  07F1                     start_initialization:	
   435  07F1                     __initialization:	
   436                           
   437                           ; Clear objects allocated to BANK0
   438  07F1  1283               	bcf	3,5	;RP0=0, select bank0
   439  07F2  1303               	bcf	3,6	;RP1=0, select bank0
   440  07F3  01AC               	clrf	__pbssBANK0& (0+127)
   441  07F4  01AD               	clrf	(__pbssBANK0+1)& (0+127)
   442  07F5  01AE               	clrf	(__pbssBANK0+2)& (0+127)
   443  07F6  01AF               	clrf	(__pbssBANK0+3)& (0+127)
   444  07F7  01B0               	clrf	(__pbssBANK0+4)& (0+127)
   445  07F8  01B1               	clrf	(__pbssBANK0+5)& (0+127)
   446  07F9  01B2               	clrf	(__pbssBANK0+6)& (0+127)
   447  07FA  01B3               	clrf	(__pbssBANK0+7)& (0+127)
   448  07FB  01B4               	clrf	(__pbssBANK0+8)& (0+127)
   449  07FC                     end_of_initialization:	
   450                           ;End of C runtime variable initialization code
   451                           
   452  07FC                     __end_of__initialization:	
   453  07FC  0183               	clrf	3
   454  07FD  120A  118A  2EF7   	ljmp	_main	;jump to C main() function
   455                           
   456                           	psect	bssBANK0
   457  002C                     __pbssBANK0:	
   458  002C                     mapeo@F1388:	
   459  002C                     	ds	6
   460  0032                     _voltaje_map:	
   461  0032                     	ds	1
   462  0033                     _Val_Cont:	
   463  0033                     	ds	1
   464  0034                     _Val_ADC:	
   465  0034                     	ds	1
   466                           
   467                           	psect	cstackCOMMON
   468  0070                     __pcstackCOMMON:	
   469  0070                     ?_setup:	
   470  0070                     ?_LCD_iniciar:	
   471                           ; 1 bytes @ 0x0
   472                           
   473  0070                     ?_LCD_CLEAR:	
   474                           ; 1 bytes @ 0x0
   475                           
   476  0070                     ?_LCD_STRING:	
   477                           ; 1 bytes @ 0x0
   478                           
   479  0070                     ?_I2C_Master_Start:	
   480                           ; 1 bytes @ 0x0
   481                           
   482  0070                     ??_I2C_Master_Start:	
   483                           ; 1 bytes @ 0x0
   484                           
   485  0070                     ?_I2C_Master_Write:	
   486                           ; 1 bytes @ 0x0
   487                           
   488  0070                     ?_I2C_Master_Stop:	
   489                           ; 1 bytes @ 0x0
   490                           
   491  0070                     ??_I2C_Master_Stop:	
   492                           ; 1 bytes @ 0x0
   493                           
   494  0070                     ?_LCD_CHAR:	
   495                           ; 1 bytes @ 0x0
   496                           
   497  0070                     ??_LCD_CHAR:	
   498                           ; 1 bytes @ 0x0
   499                           
   500  0070                     ?_uint_to_char:	
   501                           ; 1 bytes @ 0x0
   502                           
   503  0070                     ??_uint_to_char:	
   504                           ; 1 bytes @ 0x0
   505                           
   506  0070                     ?_LCD_DATO:	
   507                           ; 1 bytes @ 0x0
   508                           
   509  0070                     ?_main:	
   510                           ; 1 bytes @ 0x0
   511                           
   512  0070                     ?_I2C_Master_Wait:	
   513                           ; 1 bytes @ 0x0
   514                           
   515  0070                     ??_I2C_Master_Wait:	
   516                           ; 1 bytes @ 0x0
   517                           
   518  0070                     ?_I2C_Master_Read:	
   519                           ; 1 bytes @ 0x0
   520                           
   521  0070                     ?___wmul:	
   522                           ; 2 bytes @ 0x0
   523                           
   524  0070                     ?___lldiv:	
   525                           ; 2 bytes @ 0x0
   526                           
   527  0070                     LCD_DATO@var:	
   528                           ; 4 bytes @ 0x0
   529                           
   530  0070                     I2C_Master_Write@d:	
   531                           ; 2 bytes @ 0x0
   532                           
   533  0070                     I2C_Master_Read@a:	
   534                           ; 2 bytes @ 0x0
   535                           
   536  0070                     ___wmul@multiplier:	
   537                           ; 2 bytes @ 0x0
   538                           
   539  0070                     ___lldiv@divisor:	
   540                           ; 2 bytes @ 0x0
   541                           
   542                           
   543                           ; 4 bytes @ 0x0
   544  0070                     	ds	1
   545  0071                     LCD_CHAR@a:	
   546                           
   547                           ; 1 bytes @ 0x1
   548  0071                     	ds	1
   549  0072                     ??_LCD_STRING:	
   550  0072                     ??_I2C_Master_Write:	
   551                           ; 1 bytes @ 0x2
   552                           
   553  0072                     ??_I2C_Master_Read:	
   554                           ; 1 bytes @ 0x2
   555                           
   556  0072                     ??_LCD_DATO:	
   557                           ; 1 bytes @ 0x2
   558                           
   559  0072                     uint_to_char@numero:	
   560                           ; 1 bytes @ 0x2
   561                           
   562  0072                     LCD_STRING@n:	
   563                           ; 1 bytes @ 0x2
   564                           
   565  0072                     ___wmul@multiplicand:	
   566                           ; 2 bytes @ 0x2
   567                           
   568                           
   569                           ; 2 bytes @ 0x2
   570  0072                     	ds	1
   571  0073                     uint_to_char@numChr:	
   572                           
   573                           ; 1 bytes @ 0x3
   574  0073                     	ds	1
   575  0074                     ??_LCD_iniciar:	
   576  0074                     ??_LCD_CLEAR:	
   577                           ; 1 bytes @ 0x4
   578                           
   579  0074                     ?_LCD_CURSOR:	
   580                           ; 1 bytes @ 0x4
   581                           
   582  0074                     ??___wmul:	
   583                           ; 1 bytes @ 0x4
   584                           
   585  0074                     LCD_STRING@a:	
   586                           ; 1 bytes @ 0x4
   587                           
   588  0074                     LCD_CURSOR@a:	
   589                           ; 1 bytes @ 0x4
   590                           
   591  0074                     I2C_Master_Read@temp:	
   592                           ; 2 bytes @ 0x4
   593                           
   594  0074                     ___wmul@product:	
   595                           ; 2 bytes @ 0x4
   596                           
   597  0074                     ___lldiv@dividend:	
   598                           ; 2 bytes @ 0x4
   599                           
   600                           
   601                           ; 4 bytes @ 0x4
   602  0074                     	ds	2
   603  0076                     ?_mapeo:	
   604  0076                     mapeo@limPIC:	
   605                           ; 1 bytes @ 0x6
   606                           
   607  0076                     LCD_CURSOR@b:	
   608                           ; 1 bytes @ 0x6
   609                           
   610                           
   611                           ; 2 bytes @ 0x6
   612  0076                     	ds	1
   613  0077                     mapeo@limFisico:	
   614                           
   615                           ; 1 bytes @ 0x7
   616  0077                     	ds	1
   617  0078                     ??_LCD_CURSOR:	
   618  0078                     ??_mapeo:	
   619                           ; 1 bytes @ 0x8
   620                           
   621  0078                     ??___lldiv:	
   622                           ; 1 bytes @ 0x8
   623                           
   624  0078                     LCD_CURSOR@d:	
   625                           ; 1 bytes @ 0x8
   626                           
   627                           
   628                           ; 2 bytes @ 0x8
   629  0078                     	ds	1
   630  0079                     ___lldiv@quotient:	
   631                           
   632                           ; 4 bytes @ 0x9
   633  0079                     	ds	4
   634  007D                     ___lldiv@counter:	
   635                           
   636                           ; 1 bytes @ 0xD
   637  007D                     	ds	1
   638  007E                     ??_setup:	
   639                           
   640                           	psect	cstackBANK0
   641  0020                     __pcstackBANK0:	
   642                           ; 1 bytes @ 0xE
   643                           
   644  0020                     ?_I2C_Master_Init:	
   645  0020                     mapeo@valor:	
   646                           ; 1 bytes @ 0x0
   647                           
   648  0020                     I2C_Master_Init@c:	
   649                           ; 1 bytes @ 0x0
   650                           
   651                           
   652                           ; 4 bytes @ 0x0
   653  0020                     	ds	1
   654  0021                     mapeo@result:	
   655                           
   656                           ; 6 bytes @ 0x1
   657  0021                     	ds	3
   658  0024                     ??_I2C_Master_Init:	
   659                           
   660                           ; 1 bytes @ 0x4
   661  0024                     	ds	3
   662  0027                     mapeo@dividendo:	
   663                           
   664                           ; 2 bytes @ 0x7
   665  0027                     	ds	2
   666  0029                     ??_main:	
   667                           
   668                           ; 1 bytes @ 0x9
   669  0029                     	ds	3
   670                           
   671                           	psect	maintext
   672  06F7                     __pmaintext:	
   673 ;;
   674 ;;Main: autosize = 0, tempsize = 3, incstack = 0, save=0
   675 ;;
   676 ;; *************** function _main *****************
   677 ;; Defined at:
   678 ;;		line 59 in file "i2C_Master.c"
   679 ;; Parameters:    Size  Location     Type
   680 ;;		None
   681 ;; Auto vars:     Size  Location     Type
   682 ;;		None
   683 ;; Return value:  Size  Location     Type
   684 ;;                  1    wreg      void 
   685 ;; Registers used:
   686 ;;		wreg, fsr0l, fsr0h, status,2, status,0, btemp+1, pclath, cstack
   687 ;; Tracked objects:
   688 ;;		On entry : B00/0
   689 ;;		On exit  : 0/0
   690 ;;		Unchanged: 0/0
   691 ;; Data sizes:     COMMON   BANK0   BANK1   BANK3   BANK2
   692 ;;      Params:         0       0       0       0       0
   693 ;;      Locals:         0       0       0       0       0
   694 ;;      Temps:          0       3       0       0       0
   695 ;;      Totals:         0       3       0       0       0
   696 ;;Total ram usage:        3 bytes
   697 ;; Hardware stack levels required when called:    3
   698 ;; This function calls:
   699 ;;		_I2C_Master_Read
   700 ;;		_I2C_Master_Start
   701 ;;		_I2C_Master_Stop
   702 ;;		_I2C_Master_Write
   703 ;;		_LCD_CHAR
   704 ;;		_LCD_CLEAR
   705 ;;		_LCD_CURSOR
   706 ;;		_LCD_STRING
   707 ;;		_LCD_iniciar
   708 ;;		_mapeo
   709 ;;		_setup
   710 ;;		_uint_to_char
   711 ;; This function is called by:
   712 ;;		Startup code after reset
   713 ;; This function uses a non-reentrant model
   714 ;;
   715                           
   716                           
   717                           ;psect for function _main
   718  06F7                     _main:	
   719  06F7                     l1308:	
   720                           ;incstack = 0
   721                           ; Regs used in _main: [wreg-fsr0h+status,2+status,0+btemp+1+pclath+cstack]
   722                           
   723                           
   724                           ;i2C_Master.c: 60:     setup();
   725  06F7  120A  118A  23C1  120A  118A  	fcall	_setup
   726                           
   727                           ;i2C_Master.c: 62:     LCD_iniciar();
   728  06FC  120A  118A  2541  120A  118A  	fcall	_LCD_iniciar
   729                           
   730                           ;i2C_Master.c: 63:     LCD_CLEAR();
   731  0701  120A  118A  23A7  120A  118A  	fcall	_LCD_CLEAR
   732                           
   733                           ;i2C_Master.c: 64:     LCD_CURSOR(1,1);
   734  0706  3001               	movlw	1
   735  0707  00F4               	movwf	LCD_CURSOR@a
   736  0708  3000               	movlw	0
   737  0709  00F5               	movwf	LCD_CURSOR@a+1
   738  070A  3001               	movlw	1
   739  070B  00F6               	movwf	LCD_CURSOR@b
   740  070C  3000               	movlw	0
   741  070D  00F7               	movwf	LCD_CURSOR@b+1
   742  070E  120A  118A  244C  120A  118A  	fcall	_LCD_CURSOR
   743  0713                     l1310:	
   744                           
   745                           ;i2C_Master.c: 65:     LCD_STRING ("S1    S2   S3");
   746  0713  3001               	movlw	(low ((STR_1-__stringbase)| (0+32768)))& (0+255)
   747  0714  120A  118A  2402  120A  118A  	fcall	_LCD_STRING
   748  0719                     l1312:	
   749                           
   750                           ;i2C_Master.c: 69:         I2C_Master_Start();
   751  0719  120A  118A  236F  120A  118A  	fcall	_I2C_Master_Start
   752  071E                     l1314:	
   753                           
   754                           ;i2C_Master.c: 70:         I2C_Master_Write(0x51);
   755  071E  3051               	movlw	81
   756  071F  00F0               	movwf	I2C_Master_Write@d
   757  0720  3000               	movlw	0
   758  0721  00F1               	movwf	I2C_Master_Write@d+1
   759  0722  120A  118A  2381  120A  118A  	fcall	_I2C_Master_Write
   760  0727                     l1316:	
   761                           
